# Tau0 Delta logL logPrior
1.024134484710845072e+01 1.191525404268535926e+00 1.062993506107472541e+02 -2.708050201102210508e+00
8.662704748928593546e+00 1.885259965343014432e+00 1.063003543875757231e+02 -2.708050201102210508e+00
1.000678523973079770e+01 1.826743247589450059e+00 1.063032298222739627e+02 -2.708050201102210508e+00
1.005997063428341853e+01 1.780216167225547208e+00 1.063047012922065448e+02 -2.708050201102210508e+00
8.697882262425467914e+00 1.904028254754103422e+00 1.063115357137039609e+02 -2.708050201102210508e+00
1.017532770056833691e+01 1.042523919463052007e+00 1.063119410655133947e+02 -2.708050201102210508e+00
1.023585465862446853e+01 1.499404121944533985e+00 1.063156584505902913e+02 -2.708050201102210508e+00
1.003734557372056457e+01 8.696893064311139732e-01 1.063164987194306832e+02 -2.708050201102210508e+00
8.910968374888323495e+00 1.998211872056194771e+00 1.063191159777421007e+02 -2.708050201102210508e+00
1.017521668764645071e+01 1.046326066559806200e+00 1.063257703066126965e+02 -2.708050201102210508e+00
8.632460693331903911e+00 1.850155948126570582e+00 1.063271901499043253e+02 -2.708050201102210508e+00
8.475734815449204262e+00 1.646996667513657142e+00 1.063310154793011435e+02 -2.708050201102210508e+00
1.023525478531653654e+01 1.191751665777669444e+00 1.063311937964207488e+02 -2.708050201102210508e+00
8.526054535784833632e+00 1.734569317115558063e+00 1.063329735892400549e+02 -2.708050201102210508e+00
8.716132648540273919e+00 1.905324165143118975e+00 1.063352503711405461e+02 -2.708050201102210508e+00
8.457659514853645533e+00 1.585502203942555255e+00 1.063425264728575286e+02 -2.708050201102210508e+00
1.014179527031427241e+01 9.972739082504726849e-01 1.063428324689468809e+02 -2.708050201102210508e+00
1.002458375649427325e+01 1.794284257805419225e+00 1.063456533743971590e+02 -2.708050201102210508e+00
9.770123589825546517e+00 1.947867155959016605e+00 1.063460385526455951e+02 -2.708050201102210508e+00
1.022657631586993254e+01 1.172224018000235901e+00 1.063466130406204542e+02 -2.708050201102210508e+00
8.442368528581830844e+00 1.485175416757115174e+00 1.063487991599711222e+02 -2.708050201102210508e+00
1.017084755449611855e+01 1.620961935474999560e+00 1.063505435461656958e+02 -2.708050201102210508e+00
1.017205155696446894e+01 1.618312379340840712e+00 1.063516016876458821e+02 -2.708050201102210508e+00
1.023345428868224261e+01 1.205234835986785491e+00 1.063582598371174868e+02 -2.708050201102210508e+00
9.623376238976419472e+00 6.364207940037815980e-01 1.063611291285213838e+02 -2.708050201102210508e+00
9.988987917770961289e+00 8.320053725499981789e-01 1.063620166760275936e+02 -2.708050201102210508e+00
1.022521812806272123e+01 1.179954667559701242e+00 1.063658111838926175e+02 -2.708050201102210508e+00
8.446665371844591874e+00 1.426634791675862157e+00 1.063666900179158432e+02 -2.708050201102210508e+00
1.009307959183814418e+01 9.380196333763406447e-01 1.063690327991761535e+02 -2.708050201102210508e+00
8.486464385063902327e+00 1.248428197881973345e+00 1.063790819901190901e+02 -2.708050201102210508e+00
8.775656666395107663e+00 1.918212443662945743e+00 1.063846601392813511e+02 -2.708050201102210508e+00
8.589722323844895868e+00 1.056137081275249079e+00 1.063868041909010600e+02 -2.708050201102210508e+00
8.461202243733140449e+00 1.538246804134742574e+00 1.063895513004451061e+02 -2.708050201102210508e+00
8.880738270789773736e+00 1.961578576821820130e+00 1.063900570892576951e+02 -2.708050201102210508e+00
1.009518049689055808e+01 1.704114646355633811e+00 1.063907462241137409e+02 -2.708050201102210508e+00
9.122034545760298485e+00 6.504485647229061307e-01 1.063920257609616300e+02 -2.708050201102210508e+00
1.018842658112095556e+01 1.559734257726551387e+00 1.063955635111819049e+02 -2.708050201102210508e+00
9.510387943297164526e+00 6.142376570064416175e-01 1.063982262581524481e+02 -2.708050201102210508e+00
8.875120191172706896e+00 1.955804253885929933e+00 1.063999259463400335e+02 -2.708050201102210508e+00
8.941467420430523561e+00 1.977558360067065646e+00 1.064005576629346876e+02 -2.708050201102210508e+00
9.880060168960689282e+00 1.873637847217663577e+00 1.064007758861773425e+02 -2.708050201102210508e+00
8.830861548282491924e+00 1.936626902619512203e+00 1.064037704412060634e+02 -2.708050201102210508e+00
9.639361656192454220e+00 1.972661964209067031e+00 1.064057092870578032e+02 -2.708050201102210508e+00
8.826552334864922855e+00 1.933957495714966557e+00 1.064058326322159331e+02 -2.708050201102210508e+00
8.806000325685788610e+00 8.296717548858267843e-01 1.064059464390904282e+02 -2.708050201102210508e+00
8.544005061614615926e+00 1.712084487133538113e+00 1.064122312382885696e+02 -2.708050201102210508e+00
1.017989411407460665e+01 1.562908285826162924e+00 1.064172111521308608e+02 -2.708050201102210508e+00
1.021384468961737646e+01 1.175134198546811337e+00 1.064173636312421678e+02 -2.708050201102210508e+00
1.017104109301780035e+01 1.577976631098100713e+00 1.064207528680095862e+02 -2.708050201102210508e+00
1.023186145783049916e+01 1.271537359949447277e+00 1.064215157597069492e+02 -2.708050201102210508e+00
8.651496680287898755e+00 9.832025070504611941e-01 1.064220714366968679e+02 -2.708050201102210508e+00
8.500158798726346276e+00 1.627484833532822028e+00 1.064222903934325615e+02 -2.708050201102210508e+00
8.649809928470622467e+00 1.817742428351926121e+00 1.064277458184236593e+02 -2.708050201102210508e+00
8.828284543461810685e+00 1.925589768197322638e+00 1.064293442310483186e+02 -2.708050201102210508e+00
9.709156399375855173e+00 1.940196421189135378e+00 1.064336955939585465e+02 -2.708050201102210508e+00
1.002030262184412379e+01 1.759646588169660575e+00 1.064352684660739783e+02 -2.708050201102210508e+00
9.056932081429875936e+00 6.790414516117665444e-01 1.064357756307464058e+02 -2.708050201102210508e+00
9.563978458545664196e+00 1.981481490844531512e+00 1.064359571320078146e+02 -2.708050201102210508e+00
1.009562039585585858e+01 9.543472556492781367e-01 1.064367043765272456e+02 -2.708050201102210508e+00
1.023062504189945621e+01 1.303346512789720579e+00 1.064372415024417364e+02 -2.708050201102210508e+00
8.622866465899161170e+00 1.022981015597953292e+00 1.064407057575289741e+02 -2.708050201102210508e+00
8.816266345841700769e+00 1.915701858205819619e+00 1.064407872283061067e+02 -2.708050201102210508e+00
1.004477692102312503e+01 1.733794521911761199e+00 1.064421796199527108e+02 -2.708050201102210508e+00
9.703934384816204073e+00 1.938756002049312199e+00 1.064430336336418748e+02 -2.708050201102210508e+00
1.021286138582794223e+01 1.446750458095423797e+00 1.064493608015890089e+02 -2.708050201102210508e+00
8.537937634907004636e+00 1.679425174253363018e+00 1.064494662640505425e+02 -2.708050201102210508e+00
